Id,Age,Weight,Height,Body Type
158023,27,67,169,Normal
20801,29,80,185,Normal
9014,30,80,180,Normal
41236,32,95,195,Normal
167495,28,92,193,Normal
176580,27,81,181,Normal
183277,23,74,173,Normal
7826,30,71,187,Normal
121944,29,79,183,Normal
156616,31,72,170,Normal
167397,28,72,177,Normal
173731,24,74,183,Lean
188545,25,78,184,Normal
121939,30,66,170,Normal
155862,28,75,183,Normal
164240,29,79,183,Normal
168542,28,67,170,Normal
177003,28,65,174,Lean
198710,22,75,180,Normal
190871,22,64,175,Lean
192119,22,88,199,Lean
178603,25,90,192,Normal
183898,26,70,180,Lean
188350,25,73,181,Lean
189596,24,75,186,Lean
153079,26,74,172,Normal
176635,25,76,183,Lean
10535,34,68,170,Normal
20289,31,90,189,Lean
54050,28,83,176,Stocky
139720,28,85,192,Normal
192318,22,72,176,Normal
189511,25,73,189,Lean
182521,24,78,182,Normal
