SoFifaId,Name,Nationality,Team,TeamPosition
158023,L. Messi,Argentina,FC Barcelona,CF
20801,Cristiano Ronaldo,Portugal,Real Madrid,LW
9014,A. Robben,Netherlands,FC Bayern München,SUB
41236,Z. Ibrahimović,Sweden,Paris Saint-Germain,ST
167495,M. Neuer,Germany,FC Bayern München,GK
176580,L. Suárez,Uruguay,FC Barcelona,RES
183277,E. Hazard,Belgium,Chelsea,LM
7826,R. van Persie,Netherlands,Manchester United,RS
121944,B. Schweinsteiger,Germany,FC Bayern München,SUB
156616,F. Ribéry,France,FC Bayern München,SUB
167397,Falcao,Colombia,Manchester United,SUB
173731,G. Bale,Wales,Real Madrid,RW
188545,R. Lewandowski,Poland,FC Bayern München,LS
121939,P. Lahm,Germany,FC Bayern München,RCM
155862,Sergio Ramos,Spain,Real Madrid,LCB
164240,Thiago Silva,Brazil,Paris Saint-Germain,LCB
168542,David Silva,Spain,Manchester City,CAM
177003,L. Modrić,Croatia,Real Madrid,RCM
198710,J. Rodríguez,Colombia,Real Madrid,CAM
190871,Neymar,Brazil,FC Barcelona,LW
192119,T. Courtois,Belgium,Chelsea,GK
178603,M. Hummels,Germany,Borussia Dortmund,SUB
183898,A. Di María,Argentina,Manchester United,LCM
188350,M. Reus,Germany,Borussia Dortmund,SUB
189596,T. Müller,Germany,FC Bayern München,RS
153079,S. Agüero,Argentina,Manchester City,ST
176635,M. Özil,Germany,Arsenal,LW
10535,Xavi,Spain,FC Barcelona,SUB
20289,Y. Touré,Ivory Coast,Manchester City,LDM
54050,W. Rooney,England,Manchester United,LS
139720,V. Kompany,Belgium,Manchester City,RCB
192318,M. Götze,Germany,FC Bayern München,CM
189511,Sergio Busquets,Spain,FC Barcelona,CDM
182521,T. Kroos,Germany,Real Madrid,LCM
